feature,scale_factor,n_windows,median_relative_change_percent,q1_relative_change_percent,q3_relative_change_percent,max_absolute_difference,n_numerically_invariant,proportion_invariant
frozen_total,0.25,60,-75.44333258815831,-75.70797316055034,-75.29543288330284,9.08432007074519,0,0.0
frozen_total,0.5,60,-50.38553751241726,-50.60140873261417,-50.156702251207946,6.094240085704091,0,0.0
frozen_total,1.0,60,0.0,0.0,0.0,0.0,60,1.0
frozen_total,2.0,60,102.26942690936531,101.34127496631174,103.0507686528093,12.107919470026884,0,0.0
frozen_total,4.0,60,309.1764307593187,306.3173594947103,311.5259271096024,36.83095902153862,0,0.0
frozen_total,1.3,60,30.686402018080322,30.242340446755,31.0973184209544,3.6873424567638793,0,0.0
frozen_total,7.1,60,630.6385670280724,625.209800352141,639.2155810137283,72.7248592201025,0,0.0
frozen_average,0.25,60,-5.560977631568878,-7.4339980800615795,-4.289610736892817,0.009960986886287403,0,0.0
frozen_average,0.5,60,-1.7075337468538068,-2.4516255712984236,-1.0736203161911853,0.0027581647850428437,0,0.0
frozen_average,1.0,60,0.0,0.0,0.0,0.0,60,1.0
frozen_average,2.0,60,2.1196317506436113,1.5064631766506693,3.297096688117303,0.0028056400813888382,0,0.0
frozen_average,4.0,60,4.620403908995678,3.35865489780862,5.609635511924662,0.005011432282330433,0,0.0
frozen_average,1.3,60,0.8755830784594525,0.43326222806908,1.6951674521770608,0.001742210697140853,0,0.0
frozen_average,7.1,60,6.984186243482311,5.268353555947154,9.872730468303574,0.008809449501792813,0,0.0
frozen_median,0.25,60,-12.082428750204222,-20.684801712944882,-9.222528586565666,0.0033376191424643407,0,0.0
frozen_median,0.5,60,-4.185657858820663,-7.303709667402845,-0.03777222585101272,0.0009248344279760177,0,0.0
frozen_median,1.0,60,0.0,0.0,0.0,0.0,60,1.0
frozen_median,2.0,60,4.183568486041596,2.2053119919940736,6.948362597927314,0.0010353208387306832,0,0.0
frozen_median,4.0,60,8.773342894183482,4.649100521197006,14.026336691180916,0.0016832913889178024,0,0.0
frozen_median,1.3,60,1.4556404715919309,-0.08717505974486264,3.5880073575441713,0.0007042216707568057,0,0.0
frozen_median,7.1,60,17.08732207515167,10.645214428377606,25.366087972164554,0.0022434944498688795,0,0.0
frozen_sd,0.25,60,-6.050119973711173,-8.662688934416925,-4.06515626230993,0.03136189515684201,0,0.0
frozen_sd,0.5,60,-2.164545043698528,-3.2589417776777396,-1.3283381000669268,0.008503115541676987,0,0.0
frozen_sd,1.0,60,0.0,0.0,0.0,0.0,60,1.0
frozen_sd,2.0,60,3.440072877562482,2.299872560896829,4.735808436797988,0.01378113380178625,0,0.0
frozen_sd,4.0,60,7.4939160929723965,5.665154898505791,10.579434824742135,0.025145873614031117,0,0.0
frozen_sd,1.3,60,1.4750104990918493,0.7793739114884742,2.194448442481594,0.0054243356238062035,0,0.0
