resolution,approx_bin_count_documented,approx_bin_count_measured_median,mode,feature,gain,median_relative_difference_percent,max_abs_relative_difference_percent,pass_count,total_count
gi_d2,600,588.0,GI,total,2.0,0.0,0.0,60,60
gi_d2,600,588.0,GI,total,4.0,0.0,0.0,60,60
gi_d2,600,588.0,GI,total,7.1,0.0,0.0,60,60
gi_d2,600,588.0,GI,average,0.25,0.0,0.0,60,60
gi_d2,600,588.0,GI,average,0.5,0.0,0.0,60,60
gi_d2,600,588.0,GI,average,1.3,0.0,0.0,60,60
gi_d2,600,588.0,GI,average,2.0,0.0,0.0,60,60
gi_d2,600,588.0,GI,average,4.0,0.0,0.0,60,60
gi_d2,600,588.0,GI,average,7.1,0.0,0.0,60,60
gi_d2,600,588.0,GI,sd,0.25,0.0,0.0,60,60
gi_d2,600,588.0,GI,sd,0.5,0.0,0.0,60,60
gi_d2,600,588.0,GI,sd,1.3,0.0,0.0,60,60
gi_d2,600,588.0,GI,sd,2.0,0.0,0.0,60,60
gi_d2,600,588.0,GI,sd,4.0,0.0,0.0,60,60
gi_d2,600,588.0,GI,sd,7.1,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,total,0.25,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,total,0.5,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,total,1.3,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,total,2.0,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,total,4.0,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,total,7.1,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,average,0.25,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,average,0.5,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,average,1.3,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,average,2.0,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,average,4.0,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,average,7.1,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,sd,0.25,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,sd,0.5,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,sd,1.3,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,sd,2.0,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,sd,4.0,0.0,0.0,60,60
gi_d3,5000,5258.0,GI,sd,7.1,0.0,0.0,60,60
