feature,amplitude_feature,pearson_r,r_squared,n_windows
frozen_total,fwh_time_mean_absolute_value,0.9840748698078683,0.9684033493873729,4083
frozen_total,fwh_time_root_mean_square,0.9725231161826965,0.9458012115097025,4083
frozen_total,fwh_time_peak_to_peak,0.9647856355201357,0.9308113225059922,4083
frozen_total,fwh_time_waveform_length,0.9849299716837076,0.970087049120869,4083
frozen_total,fwh_time_standard_deviation,0.9725244986993933,0.9458039005705062,4083
frozen_total,fwh_time_integrated_absolute_value,0.9840748698078681,0.9684033493873725,4083
frozen_average,fwh_time_mean_absolute_value,-0.047773258134998525,0.002282284192833203,4083
frozen_average,fwh_time_root_mean_square,-0.05942366094782374,0.003531171480441912,4083
frozen_average,fwh_time_peak_to_peak,-0.07649101182579672,0.005850874890134174,4083
frozen_average,fwh_time_waveform_length,-0.03501987995991151,0.0012263919924066116,4083
frozen_average,fwh_time_standard_deviation,-0.05941797067325288,0.003530495238927539,4083
frozen_average,fwh_time_integrated_absolute_value,-0.04777325813499852,0.002282284192833202,4083
frozen_median,fwh_time_mean_absolute_value,0.03660541038870465,0.0013399560697254862,4083
frozen_median,fwh_time_root_mean_square,0.023338642684798284,0.0005446922423686884,4083
frozen_median,fwh_time_peak_to_peak,0.006356304511119817,4.040260703808213e-05,4083
frozen_median,fwh_time_waveform_length,0.03859451158185439,0.0014895363242418925,4083
frozen_median,fwh_time_standard_deviation,0.023340695224868202,0.0005447880535801853,4083
frozen_median,fwh_time_integrated_absolute_value,0.03660541038870465,0.0013399560697254862,4083
frozen_sd,fwh_time_mean_absolute_value,-0.08621305601973121,0.0074326910282613125,4083
frozen_sd,fwh_time_root_mean_square,-0.09902400623242517,0.00980575381031938,4083
frozen_sd,fwh_time_peak_to_peak,-0.11535672433300202,0.01330717384884022,4083
frozen_sd,fwh_time_waveform_length,-0.07062771329947372,0.004988273885912657,4083
frozen_sd,fwh_time_standard_deviation,-0.0990163423895527,0.009804236060205132,4083
frozen_sd,fwh_time_integrated_absolute_value,-0.0862130560197313,0.007432691028261326,4083
frozen_kurtosis,fwh_time_mean_absolute_value,0.14036882133955247,0.019703406004255204,4083
frozen_kurtosis,fwh_time_root_mean_square,0.15204400571993018,0.023117379675362162,4083
frozen_kurtosis,fwh_time_peak_to_peak,0.169506653034896,0.028732505423092622,4083
frozen_kurtosis,fwh_time_waveform_length,0.13519388608781763,0.018277386835525808,4083
frozen_kurtosis,fwh_time_standard_deviation,0.15200607110536007,0.023105845652887782,4083
frozen_kurtosis,fwh_time_integrated_absolute_value,0.14036882133955214,0.01970340600425511,4083
frozen_skewness,fwh_time_mean_absolute_value,0.06143027423410575,0.003773678592477437,4083
frozen_skewness,fwh_time_root_mean_square,0.07044572943228887,0.00496260079524725,4083
frozen_skewness,fwh_time_peak_to_peak,0.08808548607424965,0.0077590528569368294,4083
frozen_skewness,fwh_time_waveform_length,0.05477257272151586,0.0030000347225337433,4083
frozen_skewness,fwh_time_standard_deviation,0.07042235920884159,0.0049593086765391155,4083
frozen_skewness,fwh_time_integrated_absolute_value,0.06143027423410581,0.003773678592477444,4083
frozen_fixed_r,fwh_time_mean_absolute_value,-0.11837223974539388,0.014011987142341005,4083
frozen_fixed_r,fwh_time_root_mean_square,-0.1218947306033929,0.014858325348873729,4083
frozen_fixed_r,fwh_time_peak_to_peak,-0.1305257153366213,0.017036962364136696,4083
frozen_fixed_r,fwh_time_waveform_length,-0.10112638174222657,0.010226545084274535,4083
frozen_fixed_r,fwh_time_standard_deviation,-0.12188396340456671,0.014855700535205758,4083
frozen_fixed_r,fwh_time_integrated_absolute_value,-0.11837223974539446,0.014011987142341144,4083
gi_total,fwh_time_mean_absolute_value,-0.10231571327971306,0.010468505183936452,4083
gi_total,fwh_time_root_mean_square,-0.10555870455448424,0.011142640107220892,4083
gi_total,fwh_time_peak_to_peak,-0.11374306606094418,0.012937485076944312,4083
gi_total,fwh_time_waveform_length,-0.07665358983722198,0.005875772834933061,4083
gi_total,fwh_time_standard_deviation,-0.10554915164435286,0.011140623412842596,4083
gi_total,fwh_time_integrated_absolute_value,-0.10231571327971292,0.010468505183936423,4083
gi_average,fwh_time_mean_absolute_value,-0.07246921840230687,0.005251787615841253,4083
gi_average,fwh_time_root_mean_square,-0.0798934471921491,0.006382962904244716,4083
gi_average,fwh_time_peak_to_peak,-0.0935851559687723,0.008758181417699438,4083
gi_average,fwh_time_waveform_length,-0.05574175160848193,0.003107142872381698,4083
